"company","date","open","close","high","low","volume","industry","total_esg_risk_score","environment_risk_score","governance_risk_score","social_risk_score","esg_risk_level","esg_risk_score_2024","predicted_future_esg_score","controversy_level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-07","1424.4000244140625","1435.5999755859375","1437.800048828125","1417","764520","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-08","1438","1448.5","1449.9000244140625","1430","824935","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-09","1448.4000244140625","1443","1455.800048828125","1438.300048828125","1008636","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-10","1444","1443.0999755859375","1450.199951171875","1437.199951171875","1035509","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-11","1444","1431.699951171875","1453.9000244140625","1428.300048828125","819864","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-14","1432","1433","1446.5","1426.0999755859375","718442","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-15","1434.4000244140625","1445.0999755859375","1449.300048828125","1429","735108","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-16","1447.5","1456.699951171875","1474","1442.9000244140625","2488981","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-17","1455","1452.5","1464","1448.9000244140625","1168071","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-18","1452.4000244140625","1443.0999755859375","1456.5","1429.0999755859375","1147990","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-21","1442.0999755859375","1450.5","1453.0999755859375","1430","815780","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-22","1454.5","1420.699951171875","1454.5","1417.0999755859375","976668","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-23","1430","1420.800048828125","1438.5","1419","740816","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-24","1423.199951171875","1411.5999755859375","1426","1405","598011","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-25","1411.699951171875","1396.300048828125","1416.699951171875","1390","744410","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-28","1396.300048828125","1376","1404.0999755859375","1373.5","790020","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-29","1376","1395.9000244140625","1398.699951171875","1373.5999755859375","782760","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-30","1398.800048828125","1394","1403.0999755859375","1391.5","627316","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-07-31","1382.0999755859375","1373.0999755859375","1395.800048828125","1370.300048828125","1412892","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-08-01","1371","1347.0999755859375","1375.9000244140625","1342.800048828125","1239941","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-08-04","1349.800048828125","1388.9000244140625","1397","1345.199951171875","1368323","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-08-05","1392","1358.0999755859375","1394.199951171875","1346","3000067","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-08-06","1374","1367.0999755859375","1386.9000244140625","1358.0999755859375","2293293","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Adani Ports and Special Economic Zone Ltd.","2025-08-07","1351","1345.4000244140625","1357.9000244140625","1315","2856816","Services","12.6","3.6","5.6","3.4","Low","12.6","14.823","High Controversy Level"
"Asian Paints Ltd.","2025-07-07","2423.300048828125","2442.800048828125","2465.10009765625","2421","869054","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-08","2440.5","2484.60009765625","2488","2437.300048828125","1136367","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-09","2520.5","2498.89990234375","2535","2492.89990234375","2328636","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-10","2507.300048828125","2451.199951171875","2512","2445.10009765625","932859","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-11","2447.5","2439.199951171875","2484.800048828125","2435.5","1050411","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-14","2431.10009765625","2401.60009765625","2448.60009765625","2391","891618","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-15","2409.89990234375","2393.5","2415","2386.300048828125","610228","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
