Company,Date,Close,High,Low,Open,Volume
"ADANIENT",2025-07-07 00:00:00.000,2576.10009765625,2605.39990234375,2572,2602,412159
"ADANIENT",2025-07-08 00:00:00.000,2591.300048828125,2600,2573,2586,357686
"ADANIENT",2025-07-09 00:00:00.000,2583,2609.89990234375,2570,2599,396880
"ADANIENT",2025-07-10 00:00:00.000,2581,2604,2575,2591,306565
"ADANIENT",2025-07-11 00:00:00.000,2558.699951171875,2591.89990234375,2551.89990234375,2575,390645
"ADANIENT",2025-07-14 00:00:00.000,2581.300048828125,2604.800048828125,2543.5,2555,536585
"ADANIENT",2025-07-15 00:00:00.000,2598.199951171875,2606.89990234375,2576,2588,379425
"ADANIENT",2025-07-16 00:00:00.000,2608.5,2619.5,2595.5,2602.5,686644
"ADANIENT",2025-07-17 00:00:00.000,2616.60009765625,2654.5,2605.300048828125,2612,785771
"ADANIENT",2025-07-18 00:00:00.000,2596.10009765625,2626.699951171875,2584.199951171875,2612,479942
"ADANIENT",2025-07-21 00:00:00.000,2619.5,2624.89990234375,2585,2596.300048828125,369782
"ADANIENT",2025-07-22 00:00:00.000,2587.800048828125,2630,2581.60009765625,2626,387055
"ADANIENT",2025-07-23 00:00:00.000,2614.5,2625.89990234375,2593.5,2600.699951171875,316424
"ADANIENT",2025-07-24 00:00:00.000,2608.39990234375,2624.199951171875,2595,2615.39990234375,253782
"ADANIENT",2025-07-25 00:00:00.000,2550.10009765625,2617,2544.10009765625,2605,424612
"ADANIENT",2025-07-28 00:00:00.000,2522.300048828125,2585,2512.60009765625,2549,428409
"ADANIENT",2025-07-29 00:00:00.000,2547.89990234375,2557.39990234375,2507.5,2529,424781
"ADANIENT",2025-07-30 00:00:00.000,2532.89990234375,2552.60009765625,2525,2547.89990234375,262063
"ADANIENT",2025-07-31 00:00:00.000,2430.699951171875,2520,2422.60009765625,2509.89990234375,1457616
"ADANIENT",2025-08-01 00:00:00.000,2350.89990234375,2444.89990234375,2333,2425,976341
"ADANIENT",2025-08-04 00:00:00.000,2363.60009765625,2374.699951171875,2338.199951171875,2360,576426
